Station,block
"Primary School,  Todarpur",1
"Primary School, Anrabali",0
"Primary School, Asara Bighawati",0
"Primary School, Badagaon bharati form",2
"Primary School, Baghpokhar",1
"Primary School, Bamhauri",2
"Primary School, Bamhoori Khurd",2
"Primary School, Bandpur",0
"Primary School, Bartha Lala",3
"Primary School, Basti",2
"Primary School, Belatal",2
"Primary School, Belaukh",3
"Primary School, Bgra khisani bujurg",2
"Primary School, Bhadauda",0
"Primary School, Bhagwanpur",0
"Primary School, Bhalsona",0
"Primary School, Bhartpura",2
"Primary School, Bilata",2
"Primary School, Block Office",0
"Primary School, Bodha",0
"Primary School, Bohra",2
"Primary School, Brahmpur",3
"Primary School, Chariya Bujrag",3
"Primary School, Chiplatha",2
"Primary School, Dagarpur Tigadi",0
"Primary School, Dera Devra bujurg",2
"Primary School, Dewari",2
"Primary School, Dhanaura",2
"Primary School, Dhanaura Tikari",0
"Primary School, Dhankharpur",3
"Primary School, Dhikana",0
"Primary School, Evani",2
"Primary School, Gaidaira",2
"Primary School, Garher",2
"Primary School, Gauripur Javahar Nagar",0
"Primary School, Gotaka",0
"Primary School, Gursarai tahrauli tahshil",2
"Primary School, Jhaaro Kalan",1
"Primary School, Jogehthi",0
"Primary School, Jogiya Khera",0
"Primary School, Johadi",0
"Primary School, Kailgwan",2
"Primary School, Kakadipur",0
"Primary School, Kakaurkala",0
"Primary School, Kalan Bar Devran",2
"Primary School, Kalani Khurad",3
"Primary School, Kantit",1
"Primary School, Kaparwar",3
"Primary School, Karasdev Mandir",2
"Primary School, Kevtam",1
"Primary School, Khandeura",2
"Primary School, Khiriya",2
"Primary School, Khujurahokhurd",2
"Primary School, Kodai",1
"Primary School, Koilar",1
"Primary School, Kritikhand",2
"Primary School, Leharthkurpura",2
"Primary School, Manupura",2
"Primary School, Marry",2
"Primary School, Masaurakhurd",2
"Primary School, Mithabel",3
"Primary School, Motiyari, Mahuaa, Banda_1",2
"Primary School, Narokhar",1
"Primary School, Narouiya Daamar",1
"Primary School, Nota",2
"Primary School, Pachar",2
"Primary School, Padra",2
"Primary School, Pakarhut",1
"Primary School, Pali",0
"Primary School, Paraon",2
"Primary School, Pashu palan Vibhag Masuri",0
"Primary School, Purakalan, Talbehat, Lalitpur_1",2
"Primary School, R.K.Inter college",0
"Primary School, Radhana",0
"Primary School, Safpuram Chandpur",0
"Primary School, Saina",2
"Primary School, Salarpur Jalalpur",0
"Primary School, Salhepur",2
"Primary School, Sangholi taga",0
"Primary School, Sanori",2
"Primary School, Sarwa",2
"Primary School, Shekhar",2
"Primary School, Shivpur",1
"Primary School, Silana",0
"Primary School, Sindhan Kalan",2
"Primary School, Sirasi",1
"Primary School, Sirjam",3
"Primary School, Sultanpur_1",0
"Primary School, Surikalan",2
"Primary School, Tewalagarhi",0
"Primary School, Tilaura",3
"Primary School, Vansha Gram Panchayt",2
"Primary School, Vijaypura",2
"Primary School/ Composite, Alampur",0
"Primary School/ Composite, Bhojpur Taga",0
"Primary School/ Composite, Chaappar",0
"Primary School/ Composite, Chittora",0
"Primary School/ Composite, Dadheru Kaian",0
"Primary School/ Composite, Dholla Majra",0
"Primary School/ Composite, Fakreda",0
"Primary School/ Composite, Ghumawati",0
"Primary School/ Composite, Haibatpur",0
"Primary School/ Composite, Harsauli",0
"Primary School/ Composite, Jaula Dindauli",0
"Primary School/ Composite, Jeevna",0
"Primary School/ Composite, Jhabiran",0
"Primary School/ Composite, Jukhedi",0
"Primary School/ Composite, Katla Naveen",0
"Primary School/ Composite, Landhoura Junardar",0
"Primary School/ Composite, Mandawali Khadar",0
"Primary School/ Composite, Manganpur",0
"Primary School/ Composite, Manoharpur",0
"Primary School/ Composite, Manpur Qadeem",0
"Primary School/ Composite, Mehmoodpur",0
"Primary School/ Composite, Mundi Kheri",0
"Primary School/ Composite, Nagla Rajput",0
"Primary School/ Composite, Nandhera Khurd",0
"Primary School/ Composite, Nasrullahgarh",0
"Primary School/ Composite, Nunabadi",0
"Primary School/ Composite, Pawti",0
"Primary School/ Composite, Peepalhera",0
"Primary School/ Composite, Rasulpur",0
"Primary School/ Composite, Sidki",0
"Primary School/ Composite, Tandheda",0
Prmary School Rajpura,1
Punchayat Bhawan Bhaluwani,3
Punchayat Bhawan Vijaypur,1
"Purv Madh Vidhyalaya, Doomradeeh",1
"Purv Madh Vidhyalaya, Shivpur",1
"Purv Madhyamik Vidhyalaya, Doriya",1
"Purv Madhyamik Vidhyalaya, Fattupur",1
"Purv Madhyamik Vidhyalaya, Mahooli",1
"Purv Madhyamik Vidyalaya, Mujehra",1
"Purv Madhyamik Vidyalaya, Ranibari",1
"Purv Madhyamik Vidyalaya,Bharpura",1
Purva Madhyamik Vidhyalaya Achausa,2
Purva Madhyamik Vidhyalaya Baroda Dang,2
Purva Madhyamik Vidhyalaya Bhitaura,2
Purva Madhyamik Vidhyalaya Ladwari,2
Purva Madhyamik Vidhyalaya Piphara,4
Purva Madhyamik Vidhyalaya Sihari,2
"Purva Madhyamik Vidhyalaya, Chackwara",1
"Purva Madhyamik Vidhyalaya, Chandapur",1
Purva Madhyamik Vidyalaya Chalakpur,0
Pv. Compiergang,3
R.R.C. Center Aata,2
RASULPUR BARGAON RAJKIYA UCHTTAR PRATHAMIK VIDYALAYA,1
Rajapur Sikraur,1
Rajkia Balika Inter College Kamasin,2
Rajkia High School Pakhrauli,2
"Rajkiya High School, Atali",0
Ramchhitoni Sahawar (UP-011),4
Ranipur_2,2
Rasin_2,2
"Roadways Bus Stand, Robertsganj",1
Rohari,2
SARAHARI PRATHMIK VIDYALAYA,3
SWASTH KENDR PIPIGANJ,3
Saint Ravidas Nagar Abholi Abholi,1
Saint Ravidas Nagar Abholi Gangarampur,1
Saint Ravidas Nagar Aurai Ugapur,1
Saint Ravidas Nagar Aurai Uprauth,1
Saint Ravidas Nagar Bhadohi Munshi,1
Saint Ravidas Nagar Deegh  Deegh,1
Saint Ravidas Nagar Deegh Velahua,1
Saint Ravidas Nagar Gyanpur Kansapur,1
Saint Ravidas Nagar Gyanpur Samhai,1
Saint Ravidas Nagar Suriyawan Chhapariya,1
Saint Ravidas Nagar Suriyawan Mond,1
Saital,3
Salhakheri,0
"Samaj Sevak Junir High School, Bhaura Kalan",0
Sanjhak,0
Satti Chau Prathmik Vidyalaya,3
Semara_1,1
"Shahid Chandra Shekhar Kanya P.M.V., Mallupura",0
Shahjahanpur Bhawal Kheda Bhawal Kheda,4
Shahjahanpur Bhawal Kheda Chak Bhitara,4
Shahjahanpur Bhawal Kheda Chaudhera,4
Shahjahanpur Bhawal Kheda Ladhauli,4
Shahjahanpur Bhawal Kheda Shahbaj Pur,4
Shahjahanpur Bhawal Kheda Sutnera,4
Shahjahanpur Dadraul Banthara,4
Shahjahanpur Dadraul Saraura (East),4
Shahjahanpur Puvayan  Badagaon Pratham,4
Shahjahanpur Puvayan Bhilawan,4
Shahjahanpur Puvayan Mahua Pathak,4
Shahjahanpur Puvayan Nahil,4
Shahjahanpur Sidhauli Korokuiyan,4
Shahjahanpur Sidhauli Mahanand Pur,4
Shahjahanpur Sidhauli Sidhauli,4
Shitalpur_1,2
Sikhula Pz._1,2
Singhara Pr. Vid.,1
Sitapur Mafi,2
Sonbhadra Babhani Bhawar,1
Sonbhadra Chopan Khairatiya,1
Sonbhadra Duddhi Mahuli,1
Sonbhadra Myorpur Agartola,1
Srikantpur Pr. Vid.,1
Sujanpura Badhyapar,3
Sukwan,2
"Swarg Dham, Hardua",2
Terha_1,2
"Thana Prisar, Lalganj",1
Uccha Prathmik Vidhyalaya Deaval,2
Uccha Prathmik Vidhyalaya Devaratha,2
Uccha Prathmik Vidhyalaya Odera,2
Uccha Prathmik Vidhyalaya Uldan,2
"Uccha Prathmik Vidhyalaya, Chero",3
"Uccha Prathmik Vidhyalaya, Gangapur",2
"Uccha Prathmik Vidhyalaya, Hasanpur Kadim",0
"Uccha Prathmik Vidhyalaya, Kapsarh",0
"Uccha Prathmik Vidhyalaya, Lohra (Pampawan)",1
"Uccha Prathmik Vidhyalaya, Pathouli",0
"Uccha Prathmik Vidhyalaya, Semra Bhav Nagar",2
"Uccha Prathmik Vidhyalaya, Simra",2
"Uccha Prathmik Vidhyalaya, Sonpur",1
"Uchha Prathmik Vidhyala, Tadi Mustkil",1
Upper Primary Kasampur,0
"Upper Primary School Eng Medium, Hariyabans",0
Upper Primary School Lehra,4
Upper Primary School Pohalli,0
Upper Primary School Rijaula,4
Upper Primary School Sarahan Bujurg,2
Upper Primary School Urouliya,4
"Upper Primary School, Khadui",1
Varansi Badagaon Gajapur,1
Varansi Chirai Gaon  Gathiya Jairampur,1
Varansi Chirai Gaon Chhahi,1
Varansi Cholapur Chaubepur,1
Varansi Cholapur Munari,1
Varansi Harahua Bhaithauli,1
Varansi Harahua Gurwat,1
Varansi Harahua Kakalpur,1
Varansi Harahua Shivrampur,1
Varansi Harahua Sulemapur,1
Varansi Pindara Gajendra,1
Varansi Pindara Molanapur,1
Veterinary Hospital Shahjahanpur,0
"Vikash Khand Parisar, Itwa",3
primary school Chaura khurd,0
primary school jalalpura,0
primary school kapasi,0
